27,Bulqur,https://acqalma.az/uploads/tmp/images/8d1084aa/8dc1c71d/50cb1b80/993abb4e/151/201/r/vp_h.jpg, 2.00 M ,Adana Lahmacun (Xətai)
28,Adana kababı,https://acqalma.az/uploads/tmp/images/7f9eb109/5c46b468/fd87bfda/0c84339a/151/201/r/Adanakabab.jpg, 5.20 M ,Adana Lahmacun (Xətai)
29,Urfa kababı,https://acqalma.az/uploads/tmp/images/22c16dda/d4c18ff1/6c8050be/3eedbb22/151/201/r/Urfakabab.jpg, 4.90 M ,Adana Lahmacun (Xətai)
30,Quzu şiş,https://acqalma.az/uploads/tmp/images/ea3b9a7e/bcad110d/a1dafae1/c2319a66/151/201/r/quzushishi.jpg, 5.80 M ,Adana Lahmacun (Xətai)
31,Antrikot,https://acqalma.az/uploads/tmp/images/0907c3dc/29a2432d/cad31dbd/a2ce115d/151/201/r/antrikot.jpg, 7.00 M ,Adana Lahmacun (Xətai)
32,Dana basdırma,https://acqalma.az/uploads/tmp/images/f66d60e7/cc614fdf/178c3caa/4b489ec9/151/201/r/Dana_basdirmasi.jpg, 6.00 M ,Adana Lahmacun (Xətai)
33,Dana şiş,https://acqalma.az/uploads/tmp/images/6fb25096/56e82fb1/67f47c31/f5a76142/151/201/r/685982.jpg, 5.70 M ,Adana Lahmacun (Xətai)
34,Toyuq şiş kabab,https://acqalma.az/uploads/tmp/images/53882653/7d171b73/1809515f/fcb6167d/151/201/r/Toyuqshish.jpg, 5.50 M ,Adana Lahmacun (Xətai)
35,Qanad kababı,https://acqalma.az/uploads/tmp/images/85267de7/68fb8112/171785b7/27d97171/151/201/r/qanadkababi.jpg, 4.00 M ,Adana Lahmacun (Xətai)
36,Qarışıq kabab,https://acqalma.az/uploads/tmp/images/fb09efda/269b9847/e38c029f/e6474bcb/151/201/r/ls.jpg, 7.00 M ,Adana Lahmacun (Xətai)
37,Alinazik kababı,https://acqalma.az/uploads/tmp/images/11cb935c/405630e2/33fbdd8e/581538da/151/201/r/Alinazikkabab.jpg, 6.50 M ,Adana Lahmacun (Xətai)
38,Pomidorlu kabab,https://acqalma.az/uploads/tmp/images/94189e2b/31c1ac9d/cccbb22c/7a200d03/151/201/r/DOMATESL-KEBAP-surmeli-kebap-kilisli-murat-usta-600x511.jpg, 4.90 M ,Adana Lahmacun (Xətai)
39,Fırın Beyti,https://acqalma.az/uploads/images/empty_dish_image.png, 8.00 M ,Adana Lahmacun (Xətai)
40,Kartof lülə kababı,https://acqalma.az/uploads/tmp/images/a7fd4aaf/de656f38/0f1dd26d/7b0afcdf/151/201/r/kartoflulekebab.jpg, 3.00 M ,Adana Lahmacun (Xətai)
41,Adana dürüm (manqalda),https://acqalma.az/uploads/tmp/images/28fd8493/da64d698/c2d3fe1c/2e0bdee9/151/201/r/quzudurum.jpg, 3.80 M ,Adana Lahmacun (Xətai)
42,Urfa dürüm (manqalda),https://acqalma.az/uploads/tmp/images/7353ad41/d74f5a8e/d5621279/01a53bb3/151/201/r/Urfadurum.jpg, 3.80 M ,Adana Lahmacun (Xətai)
43,Quzu dürüm (manqalda),https://acqalma.az/uploads/tmp/images/7a2abc18/680c642d/fa234c2a/04797997/151/201/r/quzudurum.jpg, 4.00 M ,Adana Lahmacun (Xətai)
44,Dana dürüm (manqalda),https://acqalma.az/uploads/tmp/images/89d0bfc3/20137f0d/80581638/7a9d18ee/151/201/r/DanaDurum.jpg, 3.80 M ,Adana Lahmacun (Xətai)
45,Toyuq dürüm (manqalda),https://acqalma.az/uploads/tmp/images/981dd7e9/1aae1021/0c955e74/5289bbe5/151/201/r/Toyuqdurum.jpg, 3.80 M ,Adana Lahmacun (Xətai)
46,Ciyər dürüm (manqalda),https://acqalma.az/uploads/tmp/images/16c1889e/5f63930e/a736051a/ade8ca81/151/201/r/CiyerDurum.jpg, 3.80 M ,Adana Lahmacun (Xətai)
47,Qarışıq dürüm (manqalda),https://acqalma.az/uploads/tmp/images/059d7165/ab6ac3ee/34451bd6/3b92667f/151/201/r/qarisiqdurum.jpg, 5.00 M ,Adana Lahmacun (Xətai)
48,Toyuq dönəri,https://acqalma.az/uploads/tmp/images/c0add833/b70ff4b4/13e47b51/2e9c961a/151/201/r/toyuqdoner.jpg, 2.00 M ,Adana Lahmacun (Xətai)
49,Ət dönəri,https://acqalma.az/uploads/tmp/images/6b840605/4bd5cae0/1c6d7d66/9c264b0d/151/201/r/17498410_836519399829379_8591076674865061439_n-684x463.jpg, 2.20 M ,Adana Lahmacun (Xətai)
50,Şaurma,https://acqalma.az/uploads/tmp/images/2f56c402/40834c30/a87e8317/0db3b1f9/151/201/r/dokumenty-dlya-shaurmy.jpg, 2.40 M ,Adana Lahmacun (Xətai)
51,Tombik,https://acqalma.az/uploads/tmp/images/52e59a4d/d4ed45c9/b276fe9c/4ee601b2/151/201/r/TombikDoner1.jpg, 2.40 M ,Adana Lahmacun (Xətai)
52,Porsion dönər,https://acqalma.az/uploads/tmp/images/2e9263f4/54ac83d7/bfab32da/8b0b14e0/151/201/r/porsiyondoner.jpg, 5.50 M ,Adana Lahmacun (Xətai)
53,Sarma İskəndər,https://acqalma.az/uploads/tmp/images/4818d905/f34791ea/388cef08/e49750c9/151/201/r/saramiskende.gif, 9.00 M ,Adana Lahmacun (Xətai)
54,Dönər Adana,https://acqalma.az/uploads/tmp/images/6b0cdb94/56704c65/4ecda6ed/1f78ebde/151/201/r/doner25.jpg, 6.50 M ,Adana Lahmacun (Xətai)
55,Iskəndər dönər,https://acqalma.az/uploads/tmp/images/e11db9c8/fd2f4db7/a2be27a0/c9e6cc82/151/201/r/Iskenderdoner.jpg, 7.00 M ,Adana Lahmacun (Xətai)
56,Plovüstü dönər,https://acqalma.az/uploads/tmp/images/bc5e5ce5/566ece3d/16879a1c/629a87ff/151/201/r/plovustudoner.JPG, 5.50 M ,Adana Lahmacun (Xətai)
57,Pendirli Pide,https://acqalma.az/uploads/tmp/images/11ba87f6/1489314a/621c6098/c3917a2b/151/201/r/PidePendirli.jpeg, 5.50 M ,Adana Lahmacun (Xətai)
58,Sucuklu Pide,https://acqalma.az/uploads/tmp/images/da844ee8/d16940f3/68408475/4ec44dea/151/201/r/PideKolbasa.jpg, 5.80 M ,Adana Lahmacun (Xətai)
59,Toyuqlu Pide,https://acqalma.az/uploads/tmp/images/30e82414/8c1f1cc5/d2e84baf/6764039a/151/201/r/PideToyuqlu.jpg, 5.50 M ,Adana Lahmacun (Xətai)
60,Quşbaşı Pide,https://acqalma.az/uploads/tmp/images/b62351bf/e2d15d13/855e4f64/1e0e2c66/151/201/r/PideKusbasi.jpg, 5.50 M ,Adana Lahmacun (Xətai)
61,Pide Qarışıq,https://acqalma.az/uploads/tmp/images/f178089c/ca66efe5/4122e16d/16e517be/151/201/r/PideQarisiq.jpg, 5.80 M ,Adana Lahmacun (Xətai)
62,Pide Adana,https://acqalma.az/uploads/tmp/images/2718e7ee/5fba76c7/2542ec95/c4742cea/151/201/r/pide.jpg, 6.00 M ,Adana Lahmacun (Xətai)
63,Lahmacun sadə (böyük ölçü),https://acqalma.az/uploads/tmp/images/5c270fb5/f73e9034/1229a530/5a33e8a4/151/201/r/Lahmacun.jpg, 2.20 M ,Adana Lahmacun (Xətai)
64,Lahmacun pendirli (böyük ölçü),https://acqalma.az/uploads/tmp/images/20435852/b1eaf0ce/ff54b330/03e3432f/151/201/r/LahmacunPendrili.jpg, 2.50 M ,Adana Lahmacun (Xətai)
65,Lahmacun cevizli (böyük ölçü),https://acqalma.az/uploads/tmp/images/13b809be/8941ba23/eba7c380/95ffcd52/151/201/r/LahmacunCevizli.jpg, 2.50 M ,Adana Lahmacun (Xətai)
66,Qarışıq lahmacun (böyük ölçü),https://acqalma.az/uploads/tmp/images/92afd002/3f8b541e/119d50f8/643de94d/151/201/r/lahmacun.jpg, 3.00 M ,Adana Lahmacun (Xətai)
67,Lahmacun sadə (kiçik ölçüdə),https://acqalma.az/uploads/tmp/images/7698e7f2/5ebc5950/8ea65cc0/a4a15d96/151/201/r/lahmacun.jpg, 1.80 M ,Adana Lahmacun (Xətai)
68,Qarışıq lahmacun (balaca ölçü),https://acqalma.az/uploads/tmp/images/01879ede/bcd1747b/589ad1f6/02c58a85/151/201/r/lahmacun.jpg, 2.50 M ,Adana Lahmacun (Xətai)
69,Lahmacun pendirli (kiçik ölçü),https://acqalma.az/uploads/tmp/images/e72415f9/de3854ff/c01a41ef/2f6d269c/151/201/r/LahmacunPendrili.jpg, 2.20 M ,Adana Lahmacun (Xətai)
70,"Pizza ""Margherita""",https://acqalma.az/uploads/tmp/images/b39a648b/7123b2da/277b87d2/fe657164/151/201/r/PizzaMarqarita.jpg, 5.50 M ,Adana Lahmacun (Xətai)
71,Vegetarian pizza,https://acqalma.az/uploads/tmp/images/8746a633/83af677e/aca006aa/f7f7ef4f/151/201/r/PizzaVegetarian.png, 5.50 M ,Adana Lahmacun (Xətai)
72,Pizza Toyuqlu,https://acqalma.az/uploads/tmp/images/3d7a4c11/ea621ae9/34c023aa/cce1916d/151/201/r/PizzaToyuq.jpg, 7.00 M ,Adana Lahmacun (Xətai)
73,Göbələkli pizza,https://acqalma.az/uploads/tmp/images/1800f3ac/2d79ece4/73d7045d/f1b2cc57/151/201/r/PizzaQribi.png, 6.50 M ,Adana Lahmacun (Xətai)
74,Sosiskalı pizza,https://acqalma.az/uploads/tmp/images/36c14b41/1d7a854b/a2e1885a/366c33e9/151/201/r/PizzaSosis.jpg, 7.00 M ,Adana Lahmacun (Xətai)
75,Pizza Qarışıq,https://acqalma.az/uploads/tmp/images/a3105969/de656d5f/7b527190/0a7e81c8/151/201/r/PizzaMix.jpg, 8.00 M ,Adana Lahmacun (Xətai)
76,Pizza Adana,https://acqalma.az/uploads/tmp/images/98ff1cdb/c7bbc5cc/8c962b80/870d1daa/151/201/r/PizzaPepperoni.jpg, 9.00 M ,Adana Lahmacun (Xətai)
77,Paxlava,https://acqalma.az/uploads/tmp/images/28d817c6/cee876d1/c812382a/bd146dc9/151/201/r/JROhfNrYcI.jpg, 2.00 M ,Adana Lahmacun (Xətai)
78,Sütlaç,https://acqalma.az/uploads/tmp/images/5db3499a/36fc560e/78908a27/c25b9f10/151/201/r/sutlac-tarifi-5-770x500-cc.jpg, 2.00 M ,Adana Lahmacun (Xətai)
79,Keks,https://acqalma.az/uploads/tmp/images/edf00cdb/f33b7249/17ddb287/b31a50e8/151/201/r/keks.jpg, 2.00 M ,Adana Lahmacun (Xətai)
80,Künəfə,https://acqalma.az/uploads/tmp/images/40b6a741/4b74f8a3/368e3ab0/36d9df1f/151/201/r/kunefe.jpg, 4.00 M ,Adana Lahmacun (Xətai)
81,Kompot,https://acqalma.az/uploads/tmp/images/9ad86a9c/f0fba0d3/4798cf20/63ec91ff/151/201/r/kompot.jpg, 2.50 M ,Adana Lahmacun (Xətai)
82,Ayran,https://acqalma.az/uploads/tmp/images/376d8292/c1725709/864a5617/8d6d2997/151/201/r/ayRAN.jpg, 0.60 M ,Adana Lahmacun (Xətai)
83,Pepsi,https://acqalma.az/uploads/tmp/images/b0195dd0/7769a015/1ae5d0b6/3b3df185/151/201/r/pepsi.png, 1.00 M ,Adana Lahmacun (Xətai)
84,İce Tea,https://acqalma.az/uploads/tmp/images/a024a401/ea0c2ca1/1b0ea1c4/b37ffde1/151/201/r/icetea.jpg, 1.50 M ,Adana Lahmacun (Xətai)
85,Su,https://acqalma.az/uploads/tmp/images/3c81acbd/4fd34cb9/85a7bec5/ecdab784/151/201/r/500ml-plastic-water-bottle-500x500.jpg, 0.60 M ,Adana Lahmacun (Xətai)
86,Qatıq,https://acqalma.az/uploads/tmp/images/3ee68928/99c979b9/68c64847/daa82162/151/201/r/qatiqq.jpg, 2.00 M ,Adana Lahmacun (Xətai)
87,Pepsi 1lt,https://acqalma.az/uploads/tmp/images/0fdf2615/bfb94c6c/e36f32be/29c1a06a/151/201/r/pepsi-1lt.jpg, 1.50 M ,Adana Lahmacun (Xətai)
88,"Biznes Lanç ( günün şorbası, günün isti yeməyi, salat, çörək və içki)",https://acqalma.az/uploads/tmp/images/194d758c/032f3ba1/35ae4795/2b70a12a/151/201/r/copyspace_23-2148140281.jpg, 5.00 M ,Adana Lahmacun (Yasamal)
89,Çoban salatı,https://acqalma.az/uploads/tmp/images/4f28f7eb/d63c4b34/21ff5eb2/ccb7a7d1/151/201/r/cobansalati.jpg, 2.00 M ,Adana Lahmacun (Yasamal)
90,Paytaxt salatı,https://acqalma.az/uploads/tmp/images/8062025e/5f09de60/4a23754d/75f74640/151/201/r/paytaxtsalati.jpg, 2.50 M ,Adana Lahmacun (Yasamal)
91,Toyuq salatı,https://acqalma.az/uploads/tmp/images/0fa936f2/20e9a733/d7401f7d/bd436771/151/201/r/toyuqsalatiyagda.jpg, 2.50 M ,Adana Lahmacun (Yasamal)
92,Manqal salatı,https://acqalma.az/uploads/tmp/images/7bf4cd21/1f9a4786/d24ec0b1/c8d979da/151/201/r/italyansalati.jpg, 2.00 M ,Adana Lahmacun (Yasamal)
93,Mimoza salatı,https://acqalma.az/uploads/tmp/images/81dd0dac/6cda41f3/6388fa15/bd4a5358/151/201/r/mimoza.jpg, 3.00 M ,Adana Lahmacun (Yasamal)
94,Şuba salatı,https://acqalma.az/uploads/tmp/images/9b0dc27d/60f18fff/51d0aa9a/9438ae69/151/201/r/shubasalati.jpg, 2.50 M ,Adana Lahmacun (Yasamal)
95,Mərci şorbası,https://acqalma.az/uploads/tmp/images/61ce57c4/88d95715/296e5b34/3b950d20/151/201/r/42578630_270396313599486_1665721710389666408_n.jpg, 2.00 M ,Adana Lahmacun (Yasamal)
96,Dovğa,https://acqalma.az/uploads/tmp/images/ce5eaeeb/4468f062/fb447270/14e7a170/151/201/r/Dovga-With-Meat.jpg, 2.00 M ,Adana Lahmacun (Yasamal)
97,Yayla şorbası,https://acqalma.az/uploads/tmp/images/1379efc9/8b11f8b7/6893a096/a7080351/151/201/r/corba-yayla-img.jpg, 2.00 M ,Adana Lahmacun (Yasamal)
98,Göbələk şorbası,https://acqalma.az/uploads/tmp/images/8e982342/47823444/c7a06d5c/93f93ccf/151/201/r/hqdefault.jpg, 2.00 M ,Adana Lahmacun (Yasamal)
99,Ətli şorba,https://acqalma.az/uploads/tmp/images/daaf1a1e/f0f196eb/acf8d5ca/012a9088/151/201/r/maxresdefault.jpg, 2.20 M ,Adana Lahmacun (Yasamal)
100,Fasulya,https://acqalma.az/uploads/tmp/images/e1222aad/bc03858a/92466218/15f966ea/151/201/r/fasulye_corbasi-f67eeefd-92ca-4146-9180-4cf9b996f250.jpg, 2.50 M ,Adana Lahmacun (Yasamal)
101,Lanqet,https://acqalma.az/uploads/tmp/images/5cf6667d/1a146de8/72eaf3cd/f446b2d5/151/201/r/toyuq_langeti.jpg, 4.00 M ,Adana Lahmacun (Yasamal)
102,Toyuq qulyaşı + qarnir,https://acqalma.az/uploads/images/empty_dish_image.png, 4.50 M ,Adana Lahmacun (Yasamal)
103,Ət yeməkləri,https://acqalma.az/uploads/images/empty_dish_image.png, 4.50 M ,Adana Lahmacun (Yasamal)
104,Kabab Adana,https://acqalma.az/uploads/tmp/images/1be0a791/e9fe1ef8/683abbc0/2e0b9caa/151/201/r/Adanakabab.jpg, 5.00 M ,Adana Lahmacun (Yasamal)
105,Kabab Urfa,https://acqalma.az/uploads/tmp/images/fb3b8606/f5e3a851/ea01d66b/009f9b15/151/201/r/Urfakabab.jpg, 4.50 M ,Adana Lahmacun (Yasamal)
